Player,Tm,FantPos,Age,G,GS,Pass Cmp,Pass Att,Pass Yds,Pass TD,Pass Int,Rush Att,Rush Yds,Rush Y/A,Rush TD,Rec Tgt,Rec Recept,Rec Yds,Rec Y/R,Rec TD,Fmb,FmbL,2PM,2PP
Tommy DeVito,NYG,QB,26,3,2,31,44,257,0,0,8,32,4,0,0,0,0,,0,0,0,,
Jake Haener,NOR,QB,25,8,1,18,39,226,1,1,11,22,2,0,0,0,0,,0,0,0,,
Trey Lance,DAL,QB,24,4,1,25,41,266,0,1,11,41,3.73,0,0,0,0,,0,0,0,,
Ronnie Rivers,LAR,RB,25,17,0,0,0,0,0,0,22,99,4.5,0,6,5,34,6.8,0,0,0,,
Tyrell Shavers,BUF,WR,25,3,0,0,0,0,0,0,0,0,,0,1,1,69,69,1,0,0,,
Xavier Hutchinson,HOU,WR,24,16,3,0,0,0,0,0,0,0,,0,26,12,117,9.75,0,0,0,,
Rakim Jarrett,TAM,WR,23,10,2,0,0,0,0,0,0,0,,0,11,9,124,13.78,0,0,0,,
Tony Jones,ARI,RB,27,1,0,0,0,0,0,0,4,55,13.75,1,0,0,0,,0,0,0,,
K.J. Osborn,2TM,WR,27,8,4,0,0,0,0,0,0,0,,0,18,7,57,8.14,1,0,0,,
Will Shipley,PHI,RB,22,16,1,0,0,0,0,0,30,82,2.73,0,4,4,35,8.75,0,0,0,,
Jermaine Burton,CIN,WR,23,14,1,0,0,0,0,0,0,0,,0,14,4,107,26.75,0,0,0,,
Julius Chestnut,TEN,RB,24,17,0,0,0,0,0,0,22,102,4.64,0,3,2,11,5.5,0,0,0,,
Simi Fehoko,LAC,WR,27,8,2,0,0,0,0,0,0,0,,0,16,6,106,17.67,0,0,0,,
Tay Martin,TEN,WR,27,1,0,0,0,0,0,0,0,0,,0,2,1,49,49,1,0,0,,
Jeremy Ruckert,NYJ,TE,24,17,9,0,0,0,0,0,0,0,,0,28,18,105,5.83,0,0,0,,
Ainias Smith,PHI,WR,23,7,1,0,0,0,0,0,2,6,3,0,9,7,41,5.86,1,0,0,,
Blake Whiteheart,CLE,TE,24,11,2,0,0,0,0,0,0,0,,0,9,6,51,8.5,1,0,0,,
Kenny Yeboah,NYJ,TE,26,9,1,0,0,0,0,0,0,0,,0,8,5,47,9.4,1,0,0,,
Connor Heyward,PIT,TE,25,17,5,0,0,0,0,0,0,0,,0,8,6,40,6.67,1,0,0,,
Julian Hill,MIA,TE,24,16,11,0,0,0,0,0,0,0,,0,19,12,100,8.33,0,1,0,,
Davis Mills,HOU,QB,26,4,0,20,36,212,0,0,3,11,3.67,0,0,0,0,,0,0,0,,
